x,y
-1.000000000000000000e+01,1.030275918759455323e+02
-9.899497487437185939e+00,9.776581800422019342e+01
-9.798994974874371877e+00,9.962428905065921469e+01
-9.698492462311557816e+00,1.019462148403772801e+02
-9.597989949748743754e+00,9.112299136017874446e+01
-9.497487437185929693e+00,8.910422826296439780e+01
-9.396984924623115631e+00,9.617160029298163693e+01
-9.296482412060301570e+00,9.013381499732636826e+01
-9.195979899497487509e+00,8.199186731049312016e+01
-9.095477386934673447e+00,8.511712785174997009e+01
-8.994974874371859386e+00,7.817579271989075096e+01
-8.894472361809045324e+00,7.627719283659530447e+01
-8.793969849246231263e+00,7.795391952543906200e+01
-8.693467336683417201e+00,6.534212740520115403e+01
-8.592964824120603140e+00,6.447530150655666148e+01
-8.492462311557789079e+00,6.850747630282309331e+01
-8.391959798994975017e+00,6.450208724056524545e+01
-8.291457286432160956e+00,6.941367659707229620e+01
-8.190954773869346894e+00,6.160785996590547597e+01
-8.090452261306532833e+00,5.742172842125598464e+01
-7.989949748743718771e+00,7.017677026405978324e+01
-7.889447236180904710e+00,6.011512502860239948e+01
-7.788944723618090649e+00,6.000741508551026016e+01
-7.688442211055276587e+00,5.100207309130305333e+01
-7.587939698492462526e+00,5.389009616082724108e+01
-7.487437185929648464e+00,5.568275720413925711e+01
-7.386934673366834403e+00,4.791893419161692691e+01
-7.286432160804020342e+00,5.412736289691606117e+01
-7.185929648241206280e+00,4.784936159240693598e+01
-7.085427135678392219e+00,4.802589276213534930e+01
-6.984924623115578157e+00,4.513509191513735175e+01
-6.884422110552764096e+00,5.609099589966696442e+01
-6.783919597989950034e+00,4.547400917819467026e+01
-6.683417085427135973e+00,3.898987747925003333e+01
-6.582914572864321912e+00,4.715222728068151525e+01
-6.482412060301507850e+00,3.571953643163163150e+01
-6.381909547738693789e+00,4.167452350075102885e+01
-6.281407035175879727e+00,2.965950199322464087e+01
-6.180904522613065666e+00,3.166475301832404199e+01
-6.080402010050251604e+00,3.815699115741491454e+01
-5.979899497487436655e+00,3.975018855963841702e+01
-5.879396984924622593e+00,3.581705512777198663e+01
-5.778894472361808532e+00,3.330056658620594590e+01
-5.678391959798994471e+00,3.130720886306600903e+01
-5.577889447236180409e+00,2.436849986527231948e+01
-5.477386934673366348e+00,2.712393036432282756e+01
-5.376884422110552286e+00,2.739492026117619616e+01
-5.276381909547738225e+00,3.397094456019604536e+01
-5.175879396984924163e+00,2.940231645850319708e+01
-5.075376884422110102e+00,1.787908982811345737e+01
-4.974874371859296041e+00,2.733554291096033495e+01
-4.874371859296481979e+00,2.282099905469652867e+01
-4.773869346733667918e+00,2.040332921565351043e+01
-4.673366834170853856e+00,2.589797774359248805e+01
-4.572864321608039795e+00,2.705636793125118444e+01
-4.472361809045225733e+00,2.562975226238199511e+01
-4.371859296482411672e+00,1.585964398266677833e+01
-4.271356783919597611e+00,1.760273842439320902e+01
-4.170854271356783549e+00,1.990926113234448636e+01
-4.070351758793969488e+00,2.224636655075064695e+01
-3.969849246231155426e+00,1.410058551545578176e+01
-3.869346733668341365e+00,1.470874361450965040e+01
-3.768844221105527303e+00,9.259433619453252717e+00
-3.668341708542713242e+00,7.978423506605291315e+00
-3.567839195979899181e+00,1.720556174984447750e+01
-3.467336683417085119e+00,1.912363759684062359e+01
-3.366834170854271058e+00,1.119886351135895985e+01
-3.266331658291456996e+00,1.581100276163281038e+01
-3.165829145728642935e+00,1.185488842460857484e+01
-3.065326633165828873e+00,6.094436486673307840e+00
-2.964824120603014812e+00,1.042131070787844926e+01
-2.864321608040200751e+00,1.562078916034814213e+01
-2.763819095477386689e+00,7.090713863032729769e+00
-2.663316582914572628e+00,1.445622412634526555e+01
-2.562814070351758566e+00,-7.077711420013169885e+00
-2.462311557788944505e+00,9.544256868210592160e+00
-2.361809045226130443e+00,5.310251740310645729e+00
-2.261306532663316382e+00,2.847549332712627113e+00
-2.160804020100502321e+00,4.296941497139806110e+00
-2.060301507537688259e+00,-6.575567896377542354e+00
-1.959798994974873310e+00,1.817164887708463406e+00
-1.859296482412059248e+00,4.283874585678597136e+00
-1.758793969849245187e+00,9.500446022940577606e+00
-1.658291457286431125e+00,-8.375952763860323724e-01
-1.557788944723617064e+00,-2.615677023361383746e+00
-1.457286432160803002e+00,-1.378666138596114976e+00
-1.356783919597988941e+00,5.440686574874510129e+00
-1.256281407035174880e+00,2.271051969066777865e+00
-1.155778894472360818e+00,-2.228085457746118436e+00
-1.055276381909546757e+00,2.809908894087525422e+00
-9.547738693467326954e-01,5.807977837976165958e-01
-8.542713567839186339e-01,4.818911936983115041e+00
-7.537688442211045725e-01,-3.626489532672091620e+00
-6.532663316582905111e-01,-1.819337279396209262e+00
-5.527638190954764497e-01,-2.180034379120966204e+00
-4.522613065326623882e-01,-7.550035058465487836e+00
-3.517587939698483268e-01,1.259786195143940635e+00
-2.512562814070342654e-01,1.119785089482909335e+00
-1.507537688442202040e-01,-1.018894127496552393e-01
-5.025125628140614253e-02,-1.220640588084807687e+00
5.025125628140791889e-02,-7.024098411527276653e+00
1.507537688442219803e-01,-1.930316520223359866e+00
2.512562814070360417e-01,-1.401821873324325951e+00
3.517587939698501032e-01,-3.543102657658907972e+00
4.522613065326641646e-01,-1.648876617518856280e-01
5.527638190954782260e-01,2.850843576934906753e+00
6.532663316582922874e-01,1.046546985261658236e+01
7.537688442211063489e-01,2.125448068481368136e+00
8.542713567839204103e-01,2.771624071338031570e+00
9.547738693467344717e-01,1.355546667286417373e+00
1.055276381909548533e+00,-7.610211320583740502e+00
1.155778894472362595e+00,2.118364767480350075e+00
1.256281407035176656e+00,2.830340576261338725e+00
1.356783919597990717e+00,1.513425978502166025e+01
1.457286432160804779e+00,2.155443587487750445e+00
1.557788944723618840e+00,4.934358513169755156e+00
